
---------- Begin Simulation Statistics ----------
simSeconds                                   0.121536                       # Number of seconds simulated (Second)
simTicks                                 121536431000                       # Number of ticks simulated (Tick)
finalTick                                121536431000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    253.19                       # Real time elapsed on the host (Second)
hostTickRate                                480012612                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     675420                       # Number of bytes of host memory used (Byte)
simInsts                                     88785241                       # Number of instructions simulated (Count)
simOps                                      108285141                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   350660                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     427675                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        121536432                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.368881                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.730524                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       108689575                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       12                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      108552376                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     97                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               404440                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            757041                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  12                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           121499572                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.893438                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.431342                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73503665     60.50%     60.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21227347     17.47%     77.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9936777      8.18%     86.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5540922      4.56%     90.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7181649      5.91%     96.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2689315      2.21%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1302427      1.07%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     98784      0.08%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18686      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             121499572                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1268      0.06%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.06% # attempts to use FU when none available (Count)
